综合频道,#genre#
CCTV13,http://112.66.142.147:8888/rtp/239.253.64.21:5140
CCTV13,http://60.220.167.177:8085/rtp/226.0.2.30:8152
CCTV13,http://110.72.72.90:808/hls/106/index.m3u8
CCTV13,http://110.72.79.123:808/hls/106/index.m3u8
CCTV13,http://60.220.167.177:8085/rtp/226.0.2.165:9232
CCTV13,http://125.83.127.67:5555/rtp/235.254.198.9:1312
CCTV13,http://111.225.95.230:8800/hls/13/index.m3u8
CCTV13,http://111.225.95.144:8800/hls/13/index.m3u8
CCTV14,http://112.66.142.147:8888/rtp/239.253.64.22:5140
CCTV14,http://110.72.72.90:808/hls/105/index.m3u8
CCTV14,http://110.72.79.123:808/hls/105/index.m3u8
CCTV14,http://60.220.167.177:8085/rtp/226.0.2.31:8160
CCTV14,http://111.225.95.230:8800/hls/14/index.m3u8
CCTV14,http://112.66.142.147:8888/rtp/239.253.64.115:5140
CCTV14,http://60.220.167.177:8085/rtp/226.0.2.166:9240
CCTV14,http://61.53.133.120:808/hls/27/index.m3u8
CCTV14,http://111.225.95.144:8800/hls/14/index.m3u8
CCTV14,http://61.53.133.120:808/hls/28/index.m3u8
CCTV15,http://110.72.79.123:808/hls/102/index.m3u8
CCTV15,http://112.66.142.147:8888/rtp/239.253.64.23:5140
CCTV15,http://110.72.72.90:808/hls/102/index.m3u8
CCTV15,http://111.225.95.144:8800/hls/15/index.m3u8
CCTV15,http://125.83.127.67:5555/rtp/235.254.198.11:1320
CCTV15,http://112.66.142.147:8888/rtp/239.253.64.72:5140
CCTV15,http://111.225.95.230:8800/hls/15/index.m3u8
CCTV15,http://60.220.167.177:8085/rtp/226.0.2.32:8168
CCTV16,http://112.66.142.147:8888/rtp/239.253.64.251:5140
CCTV16,http://60.220.167.177:8085/rtp/226.0.2.169:9264
CCTV16,http://112.66.142.147:8888/rtp/239.253.64.126:5140
CCTV17,http://60.220.167.177:8085/rtp/226.0.2.207:9568
CCTV17,http://112.66.142.147:8888/rtp/239.253.64.53:5140
CCTV17,http://112.66.142.147:8888/rtp/239.253.64.67:5140
CCTV17,http://60.220.167.177:8085/rtp/226.0.2.170:9272
CCTVNEWS,http://111.225.95.144:8800/hls/16/index.m3u8
CCTVNEWS,http://111.225.95.230:8800/hls/16/index.m3u8
CCTV世界地理,http://60.220.167.177:8085/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.220.167.177:8085/rtp/226.0.2.223:9696
CCTV央视台球,http://60.220.167.177:8085/rtp/226.0.2.216:9640
CCTV央视文化精品,http://60.220.167.177:8085/rtp/226.0.2.219:9664
CCTV女性时尚,http://60.220.167.177:8085/rtp/226.0.2.226:9720
CCTV娱乐,http://110.72.79.123:808/hls/66/index.m3u8
CCTV娱乐,http://110.72.72.90:808/hls/66/index.m3u8
CCTV少儿,http://125.83.127.67:5555/rtp/235.254.198.10:1316
CCTV少儿,http://125.83.127.67:5555/rtp/235.254.198.61:1520
CCTV怀旧剧场,http://60.220.167.177:8085/rtp/226.0.2.224:9704
CCTV电视指南,http://60.220.167.177:8085/rtp/226.0.2.218:9656
CCTV第一剧场,http://111.225.95.230:8800/hls/64/index.m3u8
CCTV第一剧场,http://60.220.167.177:8085/rtp/226.0.2.221:9680
CCTV第一剧场,http://111.225.95.144:8800/hls/64/index.m3u8
CCTV风云剧场,http://60.220.167.177:8085/rtp/226.0.2.227:9728
CCTV风云足球,http://60.220.167.177:8085/rtp/226.0.2.225:9712
CCTV风云音乐,http://60.220.167.177:8085/rtp/226.0.2.220:9672
CCTV高网,http://60.220.167.177:8085/rtp/226.0.2.217:9648
CETV1,http://111.225.95.144:8800/hls/29/index.m3u8
CETV1,http://112.66.142.147:8888/rtp/239.253.64.252:5140
CETV1,http://112.66.142.147:8888/rtp/239.253.64.169:5140
CETV1,http://111.225.95.230:8800/hls/29/index.m3u8
CETV1,http://60.220.167.177:8085/rtp/226.0.2.181:9360
CETV1,http://60.220.167.177:8085/rtp/226.0.2.68:8456
CETV2,http://111.225.95.230:8800/hls/95/index.m3u8
CETV2,http://111.225.95.144:8800/hls/95/index.m3u8
CETV2,http://112.66.142.147:8888/rtp/239.253.64.128:5140
CETV2,http://60.220.167.177:8085/rtp/226.0.2.69:8464
CETV4,http://111.225.95.230:8800/hls/96/index.m3u8
CETV4,http://111.225.95.144:8800/hls/96/index.m3u8
CETV4,http://60.220.167.177:8085/rtp/226.0.2.70:8472
CETV4,http://112.66.142.147:8888/rtp/239.253.64.139:5140
CETV早期教育,http://60.220.167.177:8085/rtp/226.0.2.99:8704
世界地理,http://111.225.95.230:8800/hls/73/index.m3u8
世界地理,http://111.225.95.144:8800/hls/73/index.m3u8
中国教育1,http://110.72.72.90:808/hls/129/index.m3u8
中国教育1,http://110.72.79.123:808/hls/129/index.m3u8
怀旧剧场,http://111.225.95.144:8800/hls/66/index.m3u8
怀旧剧场,http://111.225.95.230:8800/hls/66/index.m3u8
梨园频道,http://111.225.95.230:8800/hls/89/index.m3u8
梨园频道,http://111.225.95.144:8800/hls/89/index.m3u8
梨园频道,http://60.220.167.177:8085/rtp/226.0.2.115:8832
欢笑剧场4K,http://112.66.142.147:8888/rtp/239.253.64.138:5140
电视指南,http://111.225.95.230:8800/hls/63/index.m3u8
电视指南,http://111.225.95.144:8800/hls/63/index.m3u8
都市剧场,http://112.66.142.147:8888/rtp/239.253.64.101:5140
都市剧场,http://60.220.167.177:8085/rtp/226.0.2.81:8560
风云剧场,http://111.225.95.230:8800/hls/65/index.m3u8
风云剧场,http://111.225.95.144:8800/hls/65/index.m3u8
风云足球,http://111.225.95.144:8800/hls/68/index.m3u8
风云足球,http://111.225.95.230:8800/hls/68/index.m3u8
风云音乐,http://111.225.95.144:8800/hls/67/index.m3u8
风云音乐,http://111.225.95.230:8800/hls/67/index.m3u8
高尔夫.网球,http://111.225.95.230:8800/hls/69/index.m3u8
